Classification,Requirement,SelfScore
Essential,Develop and execute strategic vision for company growth,5
Essential,Lead board presentations and investor communications,4
Essential,Drive partnerships and strategic alliances,4
Essential,Oversee organizational transformation and change management,3
Important,Build and lead executive team,4
Important,Manage P&L responsibility and financial planning,3
Important,Establish company culture and values,5
Important,Navigate complex regulatory and compliance requirements,2
Desirable,Deep understanding of biotechnology landscape,4
Desirable,Experience with IPO and public company governance,2
Implicit,Represent company at industry conferences and events,4
Implicit,Build relationships with key stakeholders and customers,5
